# Full User Credentials (26 Users)

# Buyers
alice@example.com | alice123
emma@example.com | emma123
grace@example.com | grace123
isabella@example.com | isabella123
karen@example.com | karen123
mia@example.com | mia123
olivia@example.com | olivia123
quincy@example.com | quincy123
samuel@example.com | samuel123
noah@example.com | noah123
charlie@json.com | charlie123

# Sellers
bob@example.com | bob123
david@example.com | david123
frank@example.com | frank123
henry@example.com | henry123
jack@example.com | jack123
liam@example.com | liam123
nathan@example.com | nathan123
paul@example.com | paul123
rachel@example.com | rachel123
tina@example.com | tina123

# Admins
ethan@example.com | ethan123
sophia@example.com | sophia123
lia@example.com | lia123
ava@example.com | ava123
noah@example.com | noah123
